Compartment,Shelf,Item,Expected Qty,Actual Qty,Status,Notes / Action Required
Front of Engine,"50 ft of 5"" on bumper · Gate valve + hydrant wrench on bumper · Storz to steamer","50 Feet of 5"" LDH — Front Bumper",1,,,
Front of Engine,"50 ft of 5"" on bumper · Gate valve + hydrant wrench on bumper · Storz to steamer",Gate Valve + Hydrant Wrench — Top of Bumper,1,,,
Front of Engine,"50 ft of 5"" on bumper · Gate valve + hydrant wrench on bumper · Storz to steamer",Storz-to-Steamer Adapter — Front Bumper,1,,,
Engineer's Compartment,"Top · Middle · Bottom — Fittings, hydrant bag, eductor, hose roller",Eye Protection,1,,,
Engineer's Compartment,"Top · Middle · Bottom — Fittings, hydrant bag, eductor, hose roller",Fog Nozzle,1,,,
Engineer's Compartment,"Top · Middle · Bottom — Fittings, hydrant bag, eductor, hose roller",Deck Gun Nozzle,1,,,
Engineer's Compartment,"Top · Middle · Bottom — Fittings, hydrant bag, eductor, hose roller",Double-Ended Spanners,1,,,
Engineer's Compartment,"Top · Middle · Bottom — Fittings, hydrant bag, eductor, hose roller",Gated Wye,1,,,
Engineer's Compartment,"Top · Middle · Bottom — Fittings, hydrant bag, eductor, hose roller","Adaptors — M2M, F2F, CFD, Reducer",1,,,
Engineer's Compartment,"Top · Middle · Bottom — Fittings, hydrant bag, eductor, hose roller",Storz to Steamer (Middle Shelf),1,,,
Engineer's Compartment,"Top · Middle · Bottom — Fittings, hydrant bag, eductor, hose roller","Storz to 1½""",1,,,
Engineer's Compartment,"Top · Middle · Bottom — Fittings, hydrant bag, eductor, hose roller",30-Degree Elbow Storz — Anti-Kink,1,,,
Engineer's Compartment,"Top · Middle · Bottom — Fittings, hydrant bag, eductor, hose roller",Hydrant Bag — Full Contents,1,,,
Engineer's Compartment,"Top · Middle · Bottom — Fittings, hydrant bag, eductor, hose roller",Chief Eductor 125 GPM (Fill Tube in Middle Container),1,,,
Engineer's Compartment,"Top · Middle · Bottom — Fittings, hydrant bag, eductor, hose roller",Hose Roller,1,,,
Engineer's Compartment,"Top · Middle · Bottom — Fittings, hydrant bag, eductor, hose roller","5"" Hose — 25 ft (Bottom Shelf)",1,,,
Middle Compartment — Driver's Side,Irons · Maul · K-tool · Officer's tool,Fire Axe / Pickhead Axe,1,,,
Middle Compartment — Driver's Side,Irons · Maul · K-tool · Officer's tool,Flat Head Axe,1,,,
Middle Compartment — Driver's Side,Irons · Maul · K-tool · Officer's tool,Sledgehammer / Maul,1,,,
Middle Compartment — Driver's Side,Irons · Maul · K-tool · Officer's tool,Halligan Bar,1,,,
Middle Compartment — Driver's Side,Irons · Maul · K-tool · Officer's tool,K-Tool (Added After Photos),1,,,
Middle Compartment — Driver's Side,Irons · Maul · K-tool · Officer's tool,Officer's Tool / Pry Axe (Added After Photos),1,,,
Rear Compartment — Driver's Side,Second Halligan · Axes · Extinguishers · Step ladder,Halligan (Rear — Second Set),1,,,
Rear Compartment — Driver's Side,Second Halligan · Axes · Extinguishers · Step ladder,Flat Head Axe (Rear),1,,,
Rear Compartment — Driver's Side,Second Halligan · Axes · Extinguishers · Step ladder,Sledgehammer + Pickhead Axe (Rear — Added Post-Photos),1,,,
Rear Compartment — Driver's Side,Second Halligan · Axes · Extinguishers · Step ladder,Silver Bullet — Pressurized Water Extinguisher,1,,,
Rear Compartment — Driver's Side,Second Halligan · Axes · Extinguishers · Step ladder,Pump Can,1,,,
Rear Compartment — Driver's Side,Second Halligan · Axes · Extinguishers · Step ladder,ABC Dry Chemical Extinguisher,1,,,
Rear Compartment — Driver's Side,Second Halligan · Axes · Extinguishers · Step ladder,Small Step Ladder,1,,,
First Compartment — Officer's Side,"Akron coping tool · High rise bag · 50 ft of 5""",Akron Brass Hose Hoist — Coping Tool,1,,,
First Compartment — Officer's Side,"Akron coping tool · High rise bag · 50 ft of 5""",High Rise Bag — Contents,1,,,
First Compartment — Officer's Side,"Akron coping tool · High rise bag · 50 ft of 5""","50 Feet of 5"" — Officer Side",1,,,
Middle Compartment — Officer's Side,High rise pack · Bolt cutters,High Rise Pack,1,,,
Middle Compartment — Officer's Side,High rise pack · Bolt cutters,Bolt Cutters,1,,,
Rear Compartment — Officer's Side,Tool box · Cones · Tarps · Blanket · Fan hanger,Tool Box,1,,,
Rear Compartment — Officer's Side,Tool box · Cones · Tarps · Blanket · Fan hanger,Traffic Cones,1,,,
Rear Compartment — Officer's Side,Tool box · Cones · Tarps · Blanket · Fan hanger,Tarps,1,,,
Rear Compartment — Officer's Side,Tool box · Cones · Tarps · Blanket · Fan hanger,Blanket,1,,,
Rear Compartment — Officer's Side,Tool box · Cones · Tarps · Blanket · Fan hanger,Fan Hanger,1,,,
Rear of Engine,Middle · Right side · Left side · Hose bays,Decon Bucket — Dawn Soap + Brush,1,,,
Rear of Engine,Middle · Right side · Left side · Hose bays,Garden Hose,1,,,
Rear of Engine,Middle · Right side · Left side · Hose bays,Hurst Combi Tool — Cuts AND Spreads,1,,,
Rear of Engine,Middle · Right side · Left side · Hose bays,2 Shovels — Scoop and Pointed,1,,,
Rear of Engine,Middle · Right side · Left side · Hose bays,"6 ft Pike, 8 ft NY Hook, 10 ft NY Hook (Right Side)",1,,,
Rear of Engine,Middle · Right side · Left side · Hose bays,"6 ft, 8 ft, 10 ft Pike Poles (Left Side)",1,,,
