Compartment,Shelf,Item,Expected Qty,Actual Qty,Status,Notes / Action Required
Front Dash — Communications,Gray mic = DuCom · Black lower-left = Fireground · Black upper-right = PA,DuCom — Gray Microphone,1,,,
Front Dash — Communications,Gray mic = DuCom · Black lower-left = Fireground · Black upper-right = PA,"Fireground Microphone — Black, Lower Left",1,,,
Front Dash — Communications,Gray mic = DuCom · Black lower-left = Fireground · Black upper-right = PA,"PA System Microphone — Black, Upper Right",1,,,
Glove Compartment,Maps · ERG · Flares · Passport · Loading guide,District Maps,1,,,
Glove Compartment,Maps · ERG · Flares · Passport · Loading guide,Truck Loading Instruction Paper,1,,,
Glove Compartment,Maps · ERG · Flares · Passport · Loading guide,Patient Prepare Reports — Blank,1,,,
Glove Compartment,Maps · ERG · Flares · Passport · Loading guide,"Vehicle Name Laminate — ""Utility 62""",1,,,
Glove Compartment,Maps · ERG · Flares · Passport · Loading guide,Spare Tire Lock Key — In Bag,1,,,
Glove Compartment,Maps · ERG · Flares · Passport · Loading guide,Road Flares — ×2,1,,,
Glove Compartment,Maps · ERG · Flares · Passport · Loading guide,Passport Accountability System,1,,,
Glove Compartment,Maps · ERG · Flares · Passport · Loading guide,Emergency Response Guidebook — ERG,1,,,
Door Pockets — Driver + Officer,Roadway vests × 2,Roadway Safety Vests — ×2 (One Per Door),1,,,
Front Bench + Back Seat,PPE (sterile gloves & masks) · 4 Radios,PPE — Sterile Gloves & Masks,1,,,
Front Bench + Back Seat,PPE (sterile gloves & masks) · 4 Radios,Portable Radios — ×4,1,,,
Truck Bed — Cases and Bins,MSA/SCBA · Milk crate · Water rescue bin · Throw bag · Rope · Extinguisher · Sked,MSA Case — SCBA + Air Bottle + Face Piece (Size M),1,,,
Truck Bed — Cases and Bins,MSA/SCBA · Milk crate · Water rescue bin · Throw bag · Rope · Extinguisher · Sked,"Milk Crate — Jumper Cables, Chocks, Tape, Hitch",1,,,
Truck Bed — Cases and Bins,MSA/SCBA · Milk crate · Water rescue bin · Throw bag · Rope · Extinguisher · Sked,Gray Bin — Water Rescue Equipment,1,,,
Truck Bed — Cases and Bins,MSA/SCBA · Milk crate · Water rescue bin · Throw bag · Rope · Extinguisher · Sked,Orange Square Bag — Blanket,1,,,
Truck Bed — Cases and Bins,MSA/SCBA · Milk crate · Water rescue bin · Throw bag · Rope · Extinguisher · Sked,"Black Bag — Flood Light, Stand, Battery",1,,,
Truck Bed — Cases and Bins,MSA/SCBA · Milk crate · Water rescue bin · Throw bag · Rope · Extinguisher · Sked,Orange/Red Bag — PFD + Throw Bag,1,,,
Truck Bed — Cases and Bins,MSA/SCBA · Milk crate · Water rescue bin · Throw bag · Rope · Extinguisher · Sked,Rope Spool — 200 ft,1,,,
Truck Bed — Cases and Bins,MSA/SCBA · Milk crate · Water rescue bin · Throw bag · Rope · Extinguisher · Sked,ABC Fire Extinguisher,1,,,
Truck Bed — Cases and Bins,MSA/SCBA · Milk crate · Water rescue bin · Throw bag · Rope · Extinguisher · Sked,Sked — Foldable Rescue Stretcher,1,,,
Truck Bed — Tools,2 Pike poles · Halligan · Flat head axe · Umbrella · Snow scraper,2 Pike Poles,1,,,
Truck Bed — Tools,2 Pike poles · Halligan · Flat head axe · Umbrella · Snow scraper,Halligan Bar,1,,,
Truck Bed — Tools,2 Pike poles · Halligan · Flat head axe · Umbrella · Snow scraper,Flat Head Axe,1,,,
Truck Bed — Tools,2 Pike poles · Halligan · Flat head axe · Umbrella · Snow scraper,Umbrella,1,,,
Truck Bed — Tools,2 Pike poles · Halligan · Flat head axe · Umbrella · Snow scraper,Snow Scraper,1,,,
Supplies — Batteries & Hydration,Spare DeWalt batteries · Water bottles,Spare DeWalt Batteries,1,,,
Supplies — Batteries & Hydration,Spare DeWalt batteries · Water bottles,Water Bottles,1,,,
U62 Shift Rig Check — Checklist,Walk every section every shift · Sign off · Own your rig,Front Dash,1,,,
U62 Shift Rig Check — Checklist,Walk every section every shift · Sign off · Own your rig,Glove Compartment,1,,,
U62 Shift Rig Check — Checklist,Walk every section every shift · Sign off · Own your rig,Door Pockets,1,,,
U62 Shift Rig Check — Checklist,Walk every section every shift · Sign off · Own your rig,Front Bench + Back Seat,1,,,
U62 Shift Rig Check — Checklist,Walk every section every shift · Sign off · Own your rig,Truck Bed — Cases & Bins,1,,,
U62 Shift Rig Check — Checklist,Walk every section every shift · Sign off · Own your rig,Truck Bed — Tools,1,,,
U62 Shift Rig Check — Checklist,Walk every section every shift · Sign off · Own your rig,Supplies,1,,,
