Compartment,Shelf,Item,Expected Qty,Actual Qty,Status,Notes / Action Required
E61 vs. E62 — Know the Differences,READ THIS FIRST — before you ever ride E61,Driver's Side Over-Wheel Compartment,1,,,
E61 vs. E62 — Know the Differences,READ THIS FIRST — before you ever ride E61,Air Bag Controllers — E61 vs. E62,1,,,
E61 vs. E62 — Know the Differences,READ THIS FIRST — before you ever ride E61,RIT Pack — E62 Only,1,,,
Cabin Compartment & Hose Bed,Front preconnects · Side crosslays · Rear static loads,"Trash Line — 100 ft, 1¾"" Preconnected",1,,,
Cabin Compartment & Hose Bed,Front preconnects · Side crosslays · Rear static loads,"1¾"" Crosslay — 200 ft, Fog Nozzle (×2)",1,,,
Cabin Compartment & Hose Bed,Front preconnects · Side crosslays · Rear static loads,"2½"" Crosslay — 200 ft, Smooth Bore Nozzle",1,,,
Cabin Compartment & Hose Bed,Front preconnects · Side crosslays · Rear static loads,"5"" Supply Hose — 30 ft (Front) + 1,000 ft (Rear Middle)",1,,,
Cabin Compartment & Hose Bed,Front preconnects · Side crosslays · Rear static loads,"Highrise Pack 150' of 1 3/4""",1,,,
Cabin Compartment & Hose Bed,Front preconnects · Side crosslays · Rear static loads,Storz to Steamer Adapter + Hydrant Wrench,1,,,
Cabin Compartment & Hose Bed,Front preconnects · Side crosslays · Rear static loads,"Blitz Fire — 300 ft, 3"" Preconnected",1,,,
Compartment 1 — Engineer's Compartment,"Driver's side · 3 shelves · Hose fittings, spanners, hydrant bag",Black Tool Box,1,,,
Compartment 1 — Engineer's Compartment,"Driver's side · 3 shelves · Hose fittings, spanners, hydrant bag",Airpack (SCBA),1,,,
Compartment 1 — Engineer's Compartment,"Driver's side · 3 shelves · Hose fittings, spanners, hydrant bag",Double-Ended Spanners (×2) — Storz & Hose,1,,,
Compartment 1 — Engineer's Compartment,"Driver's side · 3 shelves · Hose fittings, spanners, hydrant bag","Wye Ball Valves — 2½"" to 1½"" (×2)",1,,,
Compartment 1 — Engineer's Compartment,"Driver's side · 3 shelves · Hose fittings, spanners, hydrant bag",Fog Nozzles (×2),1,,,
Compartment 1 — Engineer's Compartment,"Driver's side · 3 shelves · Hose fittings, spanners, hydrant bag",Reducer Fittings — Multiple Sizes,1,,,
Compartment 1 — Engineer's Compartment,"Driver's side · 3 shelves · Hose fittings, spanners, hydrant bag",Male-to-Male & Female-to-Female Connectors,1,,,
Compartment 1 — Engineer's Compartment,"Driver's side · 3 shelves · Hose fittings, spanners, hydrant bag",Hydrant Bag,1,,,
Compartment 2 — Hand Tools & Forcible Entry,"Driver's side · Irons, pike pole, bolt cutters, K-tool",Halligan Bar (Halligan),1,,,
Compartment 2 — Hand Tools & Forcible Entry,"Driver's side · Irons, pike pole, bolt cutters, K-tool",Flat Head Axe,1,,,
Compartment 2 — Hand Tools & Forcible Entry,"Driver's side · Irons, pike pole, bolt cutters, K-tool",Maul (Sledgehammer),1,,,
Compartment 2 — Hand Tools & Forcible Entry,"Driver's side · Irons, pike pole, bolt cutters, K-tool",Closet Pike Pole,1,,,
Compartment 2 — Hand Tools & Forcible Entry,"Driver's side · Irons, pike pole, bolt cutters, K-tool",Bolt Cutters — Medium & Large,1,,,
Compartment 2 — Hand Tools & Forcible Entry,"Driver's side · Irons, pike pole, bolt cutters, K-tool",Captain's Tool / Pry Axe (Officer's Tool),1,,,
Compartment 2 — Hand Tools & Forcible Entry,"Driver's side · Irons, pike pole, bolt cutters, K-tool",K-Tool (in Leather Case),1,,,
Compartment 2 — Hand Tools & Forcible Entry,"Driver's side · Irons, pike pole, bolt cutters, K-tool",Manhole Cover Remover,1,,,
Compartment 2 — Hand Tools & Forcible Entry,"Driver's side · Irons, pike pole, bolt cutters, K-tool",Air Tanks — Outside of Comp. 2 (×3),1,,,
"Compartment 3 — Rescue, Ventilation & Air Bags",Driver's side · Air bags · Fan · Cellar nozzle · Work lights,Cellar Nozzle on a Cellar Pipe,1,,,
"Compartment 3 — Rescue, Ventilation & Air Bags",Driver's side · Air bags · Fan · Cellar nozzle · Work lights,Portable Work Lights (×2),1,,,
"Compartment 3 — Rescue, Ventilation & Air Bags",Driver's side · Air bags · Fan · Cellar nozzle · Work lights,Ventilation Fan,1,,,
